127.0.0.1, 2015-03-14 02:50:13, GET, /, HTTP/1.1, 303, 0.003078
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.154107
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000992
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001850
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001114
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001727
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001271
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001495
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000666
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000453
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000574
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000445
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000248
127.0.0.1, 2015-03-14 02:50:13, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000301
127.0.0.1, 2015-03-14 02:50:14, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000336
127.0.0.1, 2015-03-14 02:50:14, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000778
127.0.0.1, 2015-03-14 02:50:14, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001414
127.0.0.1, 2015-03-14 02:50:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000416
127.0.0.1, 2015-03-14 02:51:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.203556
127.0.0.1, 2015-03-14 02:51:09, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001023
127.0.0.1, 2015-03-14 02:51:09, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001021
127.0.0.1, 2015-03-14 02:51:09, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002330
127.0.0.1, 2015-03-14 02:51:09, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001854
127.0.0.1, 2015-03-14 02:51:09, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000224
